# Frequency, S11, S12, S21, S22
9.562818254603682458e+07,-5.996264085600000460e-01,-6.182902909199999897e+01,-6.283094109700000018e+01,-6.043972651200000268e-01
9.563218574859887362e+07,-5.983651658899999948e-01,-6.212835170799999673e+01,-6.147313210200000100e+01,-6.056279380500000364e-01
9.563618895116092265e+07,-5.978071518099999926e-01,-6.281744074099999864e+01,-6.213204888799999992e+01,-6.053981201100000487e-01
9.564019215372297168e+07,-5.992990486000000505e-01,-6.237149438699999848e+01,-6.327734641499999668e+01,-6.038423877299999853e-01
9.564419535628502071e+07,-5.977796367400000088e-01,-6.345626555500000165e+01,-6.378547530400000198e+01,-6.051214123400000533e-01
9.564819855884708464e+07,-6.016617048000000301e-01,-6.227036997999999812e+01,-6.455136709900000369e+01,-6.041935838799999958e-01
9.565220176140913367e+07,-6.007170729099999829e-01,-6.360346855200000249e+01,-6.468010046099999499e+01,-6.033418594499999621e-01
9.565620496397118270e+07,-5.986955210000000083e-01,-6.520215119099999868e+01,-6.414816027700000234e+01,-6.048390389800000211e-01
9.566020816653323174e+07,-6.003550565499999880e-01,-6.510854612500000371e+01,-6.428197086800000193e+01,-6.052306039999999498e-01
9.566421136909528077e+07,-5.999851321100000412e-01,-6.604229456299999867e+01,-6.481778965099999823e+01,-6.054973309600000242e-01
9.566821457165732980e+07,-5.994309256500000016e-01,-6.498598675700000626e+01,-6.715990512199999785e+01,-6.071365185999999525e-01
9.567221777421937883e+07,-5.997906214199999475e-01,-6.617256508699999529e+01,-6.715065834000000677e+01,-6.052135104200000448e-01
9.567622097678142786e+07,-6.001641900599999913e-01,-6.840844445099999405e+01,-6.568941908099999694e+01,-6.053514036699999545e-01
9.568022417934347689e+07,-5.995747950599999987e-01,-6.872342363799999987e+01,-6.882133065799999372e+01,-6.054734032499999863e-01
9.568422738190552592e+07,-6.011024154999999869e-01,-6.806270331000000340e+01,-7.075351302599999315e+01,-6.039926215599999981e-01
9.568823058446757495e+07,-6.003048345400000541e-01,-7.131788367100000414e+01,-6.979867763999999397e+01,-6.054092371699999475e-01
9.569223378702962399e+07,-5.999452899899999636e-01,-7.111931727900000055e+01,-7.099000453600000071e+01,-6.074254091799999866e-01
9.569623698959167302e+07,-6.015721557100000005e-01,-7.526841878999999835e+01,-7.293099466399999642e+01,-6.055284553699999961e-01
9.570024019215372205e+07,-6.018759946399999672e-01,-7.783445687799999746e+01,-7.773166096999999297e+01,-6.083840983599999586e-01
9.570424339471577108e+07,-6.009928440199999722e-01,-8.217848478000000512e+01,-7.621280032999999321e+01,-6.054933854299999751e-01
9.570824659727782011e+07,-6.015193336899999910e-01,-7.892636027899999362e+01,-7.859986170800000593e+01,-6.040794340899999781e-01
9.571224979983986914e+07,-6.015553408399999524e-01,-7.378717223600000352e+01,-7.477270331200000442e+01,-6.054309677600000494e-01
9.571625300240191817e+07,-6.024158901699999680e-01,-7.486351989300000298e+01,-7.724432068299999798e+01,-6.047320304800000157e-01
9.572025620496396720e+07,-6.013083196099999750e-01,-7.255807147100000520e+01,-7.251266883499999949e+01,-6.063065932900000288e-01
9.572425940752601624e+07,-6.018517052899999831e-01,-7.034673979900000518e+01,-7.070393191700000557e+01,-6.069589375899999695e-01
9.572826261008806527e+07,-6.012055776600000456e-01,-6.924914971299999422e+01,-6.855663504199999636e+01,-6.051223123000000204e-01
9.573226581265011430e+07,-6.028458797100000321e-01,-6.719007699399999467e+01,-6.879837320599999373e+01,-6.058956503800000393e-01
9.573626901521216333e+07,-6.013927369099999476e-01,-6.713052369999999769e+01,-6.648586926699999822e+01,-6.047697421900000148e-01
9.574027221777421236e+07,-6.025597165299999558e-01,-6.567883654099999546e+01,-6.594677729900000429e+01,-6.063598775399999807e-01
9.574427542033627629e+07,-6.030430948999999652e-01,-6.533615844899999558e+01,-6.523362394999999481e+01,-6.062281403699999460e-01
9.574827862289832532e+07,-6.005081623200000385e-01,-6.465071016900000700e+01,-6.417310262099999818e+01,-6.044868978799999848e-01
9.575228182546037436e+07,-6.020336436000000013e-01,-6.336015497900000071e+01,-6.460509771200000273e+01,-6.061440025600000059e-01
9.575628502802242339e+07,-6.033522967500000167e-01,-6.299664883399999837e+01,-6.334013662299999936e+01,-6.050695103000000019e-01
9.576028823058447242e+07,-6.019304722499999594e-01,-6.286897679900000213e+01,-6.315231977500000227e+01,-6.050938346799999978e-01
9.576429143314652145e+07,-6.010264586800000419e-01,-6.257583194200000065e+01,-6.310920968399999964e+01,-6.040301173200000040e-01
9.576829463570857048e+07,-6.018213269500000129e-01,-6.149161653400000205e+01,-6.266360961899999893e+01,-6.043306678800000054e-01
9.577229783827061951e+07,-6.011867537199999667e-01,-6.082691290599999689e+01,-6.201768215599999934e+01,-6.032435454400000285e-01
9.577630104083266854e+07,-6.010213438000000519e-01,-6.133896953099999649e+01,-6.103385169100000240e+01,-6.042699092900000180e-01
9.578030424339471757e+07,-6.029036936999999652e-01,-6.091759936599999747e+01,-6.174094644600000237e+01,-6.044869980200000548e-01
9.578430744595676661e+07,-6.014203903000000517e-01,-6.074095979100000164e+01,-6.065051299200000301e+01,-6.043862081799999952e-01
9.578831064851881564e+07,-6.010681404000000061e-01,-6.162753365199999678e+01,-6.058158047300000248e+01,-6.030408511499999458e-01
9.579231385108086467e+07,-6.014468129200000179e-01,-5.984344926600000036e+01,-6.040473589100000140e+01,-6.052449535499999644e-01
9.579631705364291370e+07,-6.017174394300000007e-01,-6.025619978099999940e+01,-6.046836141099999651e+01,-6.042799818299999792e-01
9.580032025620496273e+07,-6.008677556599999470e-01,-6.068849991999999816e+01,-6.018414417700000030e+01,-6.027261053700000426e-01
9.580432345876701176e+07,-5.997419200000000394e-01,-6.065430642599999800e+01,-6.055069730400000338e+01,-6.044184030800000551e-01
9.580832666132906079e+07,-6.004509726000000214e-01,-6.015630609099999759e+01,-6.080966255100000240e+01,-6.032501797299999469e-01
9.581232986389110982e+07,-6.000428124200000157e-01,-6.032631790700000352e+01,-6.056128486600000116e+01,-6.046485802500000117e-01
9.581633306645315886e+07,-5.997552768499999631e-01,-6.071488754699999646e+01,-6.075483470100000005e+01,-6.040362044599999480e-01
9.582033626901520789e+07,-5.984294395500000530e-01,-6.019687893999999773e+01,-6.025234837499999685e+01,-6.044364645099999933e-01
9.582433947157725692e+07,-6.005195699900000017e-01,-6.087945896499999776e+01,-6.031336239800000243e+01,-6.041429447899999694e-01
9.582834267413930595e+07,-6.000740089999999638e-01,-6.100334021799999817e+01,-6.086109929900000282e+01,-6.048080275999999644e-01
9.583234587670135498e+07,-5.990139727400000114e-01,-6.081426403100000044e+01,-6.088662175099999985e+01,-6.035003025399999776e-01
9.583634907926340401e+07,-6.004215160700000498e-01,-6.134113406899999887e+01,-6.178731739599999884e+01,-6.048014718599999950e-01
9.584035228182545304e+07,-5.994017414100000218e-01,-6.161860964099999904e+01,-6.165966593600000323e+01,-6.030641631499999988e-01
9.584435548438751698e+07,-5.981394858999999897e-01,-6.175480725500000290e+01,-6.116365414900000275e+01,-6.036083452099999525e-01
9.584835868694956601e+07,-5.994310894700000114e-01,-6.151390724200000193e+01,-6.144078505000000234e+01,-6.020314673200000133e-01
9.585236188951161504e+07,-5.996415271599999652e-01,-6.206622333899999688e+01,-6.221201368999999914e+01,-6.020677574599999637e-01
9.585636509207366407e+07,-5.985865241800000236e-01,-6.218096902100000278e+01,-6.262676486499999839e+01,-6.025770594599999530e-01
9.586036829463571310e+07,-5.991540784100000128e-01,-6.358798162899999795e+01,-6.232565309700000000e+01,-6.018085604399999733e-01
9.586437149719776213e+07,-5.990747346900000547e-01,-6.207123411399999924e+01,-6.216447324800000018e+01,-6.015352860499999510e-01
9.586837469975981116e+07,-5.985256228099999909e-01,-6.350502415100000064e+01,-6.381578310300000112e+01,-6.016985876599999505e-01
9.587237790232186019e+07,-5.977874804699999656e-01,-6.470956596000000616e+01,-6.355332898799999697e+01,-6.011017699499999756e-01
9.587638110488390923e+07,-5.994941141599999801e-01,-6.364587380199999700e+01,-6.462364509500000054e+01,-6.016040574100000038e-01
9.588038430744595826e+07,-5.977744521600000249e-01,-6.456654116800000054e+01,-6.313539414099999902e+01,-6.036055885600000170e-01
9.588438751000800729e+07,-5.990169706800000382e-01,-6.424775893100000701e+01,-6.581770630100000119e+01,-6.018803665699999916e-01
