# Frequency, S11, S12, S21, S22
9.570824659727782011e+07,-6.070522624699999925e-01,-6.513298497399999576e+01,-6.387682990500000102e+01,-6.060984360300000207e-01
9.571224979983986914e+07,-6.082126032200000365e-01,-6.588352034099999344e+01,-6.548124985699999456e+01,-6.061366795499999460e-01
9.571625300240191817e+07,-6.075992636899999466e-01,-6.580639171299999646e+01,-6.558432467400000121e+01,-6.059645181399999636e-01
9.572025620496396720e+07,-6.080982058499999621e-01,-6.534571868599999789e+01,-6.419918670799999916e+01,-6.060659109399999522e-01
9.572425940752601624e+07,-6.074660724199999473e-01,-6.599019567499999539e+01,-6.565996300099999416e+01,-6.078844520399999674e-01
9.572826261008806527e+07,-6.087070231500000261e-01,-6.585726095100000066e+01,-6.619871588700000586e+01,-6.060602895100000165e-01
9.573226581265011430e+07,-6.096655380400000102e-01,-6.543478595199999859e+01,-6.469344947999999818e+01,-6.054452124100000443e-01
9.573626901521216333e+07,-6.070204475999999572e-01,-6.505015917699999761e+01,-6.584775920500000268e+01,-6.057356959899999893e-01
9.574027221777421236e+07,-6.082076788500000442e-01,-6.570988778599999591e+01,-6.605626725599999816e+01,-6.069060335899999492e-01
9.574427542033627629e+07,-6.086492863000000364e-01,-6.663963912299999492e+01,-6.625934207400000275e+01,-6.056505425099999451e-01
9.574827862289832532e+07,-6.079394005299999515e-01,-6.507135369700000638e+01,-6.561036599400000568e+01,-6.061830933799999821e-01
9.575228182546037436e+07,-6.092080530800000338e-01,-6.558587990799999545e+01,-6.420244678100000613e+01,-6.071322123200000309e-01
9.575628502802242339e+07,-6.079134971499999818e-01,-6.537403783499999577e+01,-6.498463815200000226e+01,-6.059867166300000330e-01
9.576028823058447242e+07,-6.084478512000000006e-01,-6.661829696700000625e+01,-6.576152885300000150e+01,-6.053024075399999759e-01
9.576429143314652145e+07,-6.071702243500000096e-01,-6.561242180700000404e+01,-6.418299156000000494e+01,-6.040210923300000090e-01
